date,heure,rang,nb_gagnants,gain_unitaire_eur
06/12/2025,18h,0L,121860,1
06/12/2025,19h,10,1,100000
06/12/2025,19h,9L,5,1000
06/12/2025,19h,9,35,500
06/12/2025,19h,8L,237,100
06/12/2025,19h,8,1176,50
06/12/2025,19h,7L,2768,14
06/12/2025,19h,7,14153,7
06/12/2025,19h,6L,15041,2
06/12/2025,19h,6,74651,1
06/12/2025,19h,0L,152244,1
13/12/2025,13h,10,1,100000
13/12/2025,13h,9L,4,1000
13/12/2025,13h,9,17,500
13/12/2025,13h,8L,141,100
13/12/2025,13h,8,799,50
13/12/2025,13h,7L,1874,14
13/12/2025,13h,7,9891,7
13/12/2025,13h,6L,10703,2
13/12/2025,13h,6,53170,1
13/12/2025,13h,0L,115446,1
13/12/2025,14h,10,0,0
13/12/2025,14h,9L,5,1000
13/12/2025,14h,9,17,500
13/12/2025,14h,8L,139,100
13/12/2025,14h,8,753,50
13/12/2025,14h,7L,1714,14
13/12/2025,14h,7,8720,7
13/12/2025,14h,6L,9128,2
13/12/2025,14h,6,46187,1
13/12/2025,14h,0L,99949,1
13/12/2025,15h,10,0,0
13/12/2025,15h,9L,4,1000
13/12/2025,15h,9,33,500
13/12/2025,15h,8L,165,100
13/12/2025,15h,8,863,50
13/12/2025,15h,7L,1999,14
13/12/2025,15h,7,9831,7
13/12/2025,15h,6L,10455,2
13/12/2025,15h,6,51126,1
13/12/2025,15h,0L,103432,1
13/12/2025,16h,10,1,300000
13/12/2025,16h,9L,5,1000
13/12/2025,16h,9,14,500
13/12/2025,16h,8L,156,100
13/12/2025,16h,8,766,50
13/12/2025,16h,7L,1823,14
13/12/2025,16h,7,9346,7
13/12/2025,16h,6L,10392,2
13/12/2025,16h,6,51891,1
13/12/2025,16h,0L,106574,1
13/12/2025,17h,10,0,0
13/12/2025,17h,9L,5,1000
13/12/2025,17h,9,15,500
13/12/2025,17h,8L,121,100
13/12/2025,17h,8,588,50
13/12/2025,17h,7L,1601,14
13/12/2025,17h,7,8015,7
13/12/2025,17h,6L,9332,2
13/12/2025,17h,6,47409,1
13/12/2025,17h,0L,109193,1
13/12/2025,18h,10,0,0
13/12/2025,18h,9L,8,1000
13/12/2025,18h,9,23,500
13/12/2025,18h,8L,138,100
13/12/2025,18h,8,704,50
13/12/2025,18h,7L,1763,14
13/12/2025,18h,7,9029,7
13/12/2025,18h,6L,10237,2
13/12/2025,18h,6,51436,1
13/12/2025,18h,0L,111886,1
13/12/2025,19h,10,0,0
13/12/2025,19h,9L,4,1720
13/12/2025,19h,9,22,854.5
13/12/2025,19h,8L,205,158.5
13/12/2025,19h,8,1110,77
13/12/2025,19h,7L,2571,22.6
13/12/2025,19h,7,12864,12.7
13/12/2025,19h,6L,13642,4.1
13/12/2025,19h,6,68599,2
13/12/2025,19h,0L,141132,1.3
20/12/2025,13h,10,0,0
20/12/2025,13h,9L,4,1000
20/12/2025,13h,9,19,500
20/12/2025,13h,8L,157,100
20/12/2025,13h,8,669,50
20/12/2025,13h,7L,1682,14
20/12/2025,13h,7,8614,7
20/12/2025,13h,6L,9578,2
20/12/2025,13h,6,48353,1
20/12/2025,13h,0L,105191,1
20/12/2025,14h,10,0,0
20/12/2025,14h,9L,5,1000
20/12/2025,14h,9,28,500
20/12/2025,14h,8L,111,100
20/12/2025,14h,8,686,50
20/12/2025,14h,7L,1370,14
20/12/2025,14h,7,6595,7
20/12/2025,14h,6L,7733,2
20/12/2025,14h,6,39304,1
20/12/2025,14h,0L,95476,1
20/12/2025,15h,10,0,0
20/12/2025,15h,9L,11,1000
20/12/2025,15h,9,46,500
20/12/2025,15h,8L,210,100
20/12/2025,15h,8,925,50
