date,heure,rang,nb_gagnants,gain_unitaire_eur,gain_total_eur
18/04/2026,14h,6L,7109,2,14218
18/04/2026,14h,6,35651,1,35651
18/04/2026,14h,0L,65734,1,65734
18/04/2026,15h,10,0,0,0
18/04/2026,15h,9L,5,1000,5000
18/04/2026,15h,9,27,500,13500
18/04/2026,15h,8L,130,100,13000
18/04/2026,15h,8,648,50,32400
18/04/2026,15h,7L,1411,14,19754
18/04/2026,15h,7,7154,7,50078
18/04/2026,15h,6L,7223,2,14446
18/04/2026,15h,6,36150,1,36150
18/04/2026,15h,0L,69145,1,69145
18/04/2026,16h,10,1,400000,400000
18/04/2026,16h,9L,2,1000,2000
18/04/2026,16h,9,13,500,6500
18/04/2026,16h,8L,121,100,12100
18/04/2026,16h,8,563,50,28150
18/04/2026,16h,7L,1318,14,18452
18/04/2026,16h,7,6585,7,46095
18/04/2026,16h,6L,6978,2,13956
18/04/2026,16h,6,34880,1,34880
18/04/2026,16h,0L,71276,1,71276
18/04/2026,17h,10,0,0,0
18/04/2026,17h,9L,3,1000,3000
18/04/2026,17h,9,24,500,12000
18/04/2026,17h,8L,129,100,12900
18/04/2026,17h,8,698,50,34900
18/04/2026,17h,7L,1507,14,21098
18/04/2026,17h,7,7144,7,50008
18/04/2026,17h,6L,7104,2,14208
18/04/2026,17h,6,35758,1,35758
18/04/2026,17h,0L,72178,1,72178
18/04/2026,18h,10,0,0,0
18/04/2026,18h,9L,14,1000,14000
18/04/2026,18h,9,49,500,24500
18/04/2026,18h,8L,247,100,24700
18/04/2026,18h,8,1304,50,65200
18/04/2026,18h,7L,1873,14,26222
18/04/2026,18h,7,9742,7,68194
18/04/2026,18h,6L,8370,2,16740
18/04/2026,18h,6,41421,1,41421
18/04/2026,18h,0L,74704,1,74704
18/04/2026,19h,10,1,300000,300000
18/04/2026,19h,9L,1,1000,1000
18/04/2026,19h,9,22,500,11000
18/04/2026,19h,8L,152,100,15200
18/04/2026,19h,8,732,50,36600
18/04/2026,19h,7L,1961,14,27454
18/04/2026,19h,7,9730,7,68110
18/04/2026,19h,6L,10664,2,21328
18/04/2026,19h,6,53083,1,53083
18/04/2026,19h,0L,111398,1,111398
25/04/2026,13h,10,1,100000,100000
25/04/2026,13h,9L,5,1000,5000
25/04/2026,13h,9,14,500,7000
25/04/2026,13h,8L,103,100,10300
25/04/2026,13h,8,497,50,24850
25/04/2026,13h,7L,1241,14,17374
25/04/2026,13h,7,6113,7,42791
25/04/2026,13h,6L,6712,2,13424
25/04/2026,13h,6,33881,1,33881
25/04/2026,13h,0L,70973,1,70973
25/04/2026,14h,10,0,0,0
25/04/2026,14h,9L,7,1000,7000
25/04/2026,14h,9,15,500,7500
25/04/2026,14h,8L,120,100,12000
25/04/2026,14h,8,586,50,29300
25/04/2026,14h,7L,1329,14,18606
25/04/2026,14h,7,6297,7,44079
25/04/2026,14h,6L,6587,2,13174
25/04/2026,14h,6,32854,1,32854
25/04/2026,14h,0L,62797,1,62797
25/04/2026,15h,10,0,0,0
25/04/2026,15h,9L,2,1000,2000
25/04/2026,15h,9,13,500,6500
25/04/2026,15h,8L,83,100,8300
25/04/2026,15h,8,426,50,21300
